source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
FBC (Fana Broadcasting Corporate S.C.),,2019-10-01 12:34:54,በሰላምና በመከባበር እሴት ግንባታ ላይ የሀይማኖት ተቋማት ትልቅ ሚና እንዳላቸው ተጠቆመ አዲስ አበባ፣ መስከረም 20 2012 (ኤፍ.ቢ.ሲ) በሰላምና በመከባበር እሴት ግንባታ ላይ የሀይማኖት ተቋማት ትልቅ ሚና እንዳላቸው ተጠቆመ። የኢትዮጵያ ሀይማኖት ተቋማት ጉባኤ 11ኛ መደበኛ ጠቅላላ ጉባኤውን እያካሄደ ነው። በጉባኤው የመክፈቻ ንግግር ያደረጉት የጉባኤው ሰብሳቢ ብጹዕ አቡነ ጎርጎሪዮስ፥ ጉባኤው በሰላምና በመከባበር እሴት ግንባታ የሚሰራቸውን ስራዎች ይበልጥ ወደ ህብረተሰቡ ተደራሽ ለማድረግ የሚያስችለውን አቅጣጫ ለመከተል ያስችለዋል ብለዋል። ከቅርብ ጊዜ ወዲህ ሀይማኖትን ሽፋን በማድረግ እየተካሄደ ያለው የግጭትና ያለመግባባት በሁሉም ሀይማኖቶች ተቀባይነት የሌላቸው እና የተወገዙ ናቸው ብለዋል። በጉባኤው የተገኙት የሰላም ሚኒስትር ድኤታዋ ወይዘሮ አልማዝ መኮንን በበኩላቸው፥ ጉባኤው ለሰላም እያበረከተ ያለውን አስተዋጽኦ አመስግነው በሀይማኖት ሽፋን የሚከሰቱ ግጭቶችን ሁሉም ሊቃወም እንደሚገባ ገልፀዋል፡፡ ጉባኤው የሚያወጣቸውን መመሪያዎች መንግስት ተፈጻሚ እንደሚያደርግና ከጉባኤው ጋር አብሮ እንደሚሰራም ተናግረዋል። በዘመን በየነ,119,115,5,2,,,,31,2501984116558979,/story.php?story_fbid=2501984116558979&id=123960474361367
FBC (Fana Broadcasting Corporate S.C.),,2019-10-01 11:36:52,የቤተ መንግስት እድሳት መስከረም 29 ተጠናቆ ለጎብኚዎች ክፍት ይደረጋል አዲስ አበባ፣ መስከረም 20 2012 (ኤፍ.ቢ.ሲ) የቤተ መንግስት እድሳት በቀጣይ ሳምንት ማለትም ሀሙስ መስከረም 29 ቀን 2012 ዓ.ም ተጠናቆ ለጎብኚዎች ክፍት እንደሚደረገ ተገለፀ። የኢፌዴሪ ጠቅላይ ሚኒስትር ዶክተር አቢይ አህመድ በዛሬው እለት በቻይና መንግስት ድጋፍ ግንባታው የሚካሄደውን የሸገር ማስዋብ ፕሮጀክት ማስጀመሪያ ስነ ስርዓት ላይ ባደረጉት ንግግር ነው ይህንን ያስታወቁት። ጠቅላይ ሚኒስትሩ በንግግራቸው፥ የቤተ መንግስት እድሳቱ መስከረም 29 ቀን 2012 ዓ.ም ተጠናቆ ለጎብኚዎች ክፍት እንደሚደረግ አስታውቀዋል። በማግስቱ አርብ ማለትም መስከረም 30 ቀን 2012 ዓ.ም የመከላከያ ሰራዊት እና የፌዴራል ፖሊስ አባላት ቤተ መንግስቱን እንደሚጎበኙ አስታውቀዋል። ቅዳሜ እና እሁድ ደግሞ በእድሜ ታላላቅ ዜጎች እና የጎዳና ተዳዳሪዎች ቤተ መንግስቱን እንደሚጎበኙም አስታውቀዋል። ከሰኞ ማለትም ከጥቅምት 3 ቀን 2012 ጅምሮ ማንኛውም ዜጋ 200 ብር በመክፈል ቤተ መንግስቱን መጎብኘት እንደሚችልም ነው የተገለፀው። በዳዊት መስፍን,2.7K,2.6K,21,71,42,1,1,273,2501916039899120,/story.php?story_fbid=2501916039899120&id=123960474361367
FBC (Fana Broadcasting Corporate S.C.),,2019-10-01 11:36:45,የኢህአዴግ ውህደት ሂደት እና አስፈላጊነት በምሁራን እይታ,90,86,2,2,1,,,27,2501915086565882,/story.php?story_fbid=2501915086565882&id=123960474361367
FBC (Fana Broadcasting Corporate S.C.),,2019-10-01 11:28:19,የቻይና ኮሚኒስት ፓርቲ ምስረታ 70ኛ ዓመት በዓል በደማቅ ወታደራዊ ትርዒት እየተከበረ ነው። በስነ ስርዓቱ ላይ  የሀገሪቱ ፕሬዚዳንት ሺ ጂንፒንግ፣ ከፍተኛ ባለስልጣናት እና ከበርካታ ሀገራት የተውጣጡ ወታደራዊ ልኡካን ተገኝተዋል። በዓሉን አስመልክቶ በቤጂንግ ቲያነንሜን አደባባይ እየተከናወነ ባለው ወታደራዊ ትርዒት ሀገር በቀል የሆኑ ዘመናዊና ግዙፍ የጦር መሳሪያዎች ለዕይታ ቀርበዋል። በትርዒቱ ላይ15 ሺህ ወታደሮች፣170 አውሮፕላኖች፣ 580 ባለስቲክ ሚሳኤሎች፣ ዘመናዊ ድሮንና ታንኮችን ጨምሮ የተለያዩ የጦር መሳሪያዎች ቀርበዋል። በፕሮግራሙ ላይ የመክፈቻ ንግግር ያደረጉት ፕሬዚዳንት ሺ ጂንፒንግ  የአዲሲቷን ቻይና ሪፐብሊክ ቀጣይነት ማንኛውም ምድራዊ ሃይል ሊያስቆመው አይችልም ብለዋል። https://fanabc.com/2019/10/የቻይና-ኮሚኒስት-ፓርቲ-70ኛ-ዓመት-በዓል-በታ/,133,131,1,,2,,,11,2501906709900053,/story.php?story_fbid=2501906709900053&id=123960474361367
FBC (Fana Broadcasting Corporate S.C.),,2019-10-01 10:47:35,,34,33,,1,,,,2,2501859523238105,/story.php?story_fbid=2501859523238105&id=123960474361367
FBC (Fana Broadcasting Corporate S.C.),,2019-10-01 10:20:06,የኤካ ኮተቤ የአዕምሮ ህክምናና አጠቃላይ ሆስፒታል ተመረቀ አዲስ አበባ፣ መስከረም 20 2012 (ኤፍ.ቢ.ሲ) የኤካ ኮተቤ የአዕምሮ ህክምና እና አጠቃላይ ሆስፒታል በዛሬው እለት በይፋ ተመርቋል። ሆስፒታሉ በዛሬው እለት የኢፌዴሪ ምክትል ጠቅላይ ሚኒስትር አቶ ደመቀ መኮንን እና የጤና ሚኒስትር ዶክተር አሚር አማንን ጨምሮ ከፍተኛ የመንግስት የስራ ሀላፊዎች በተገኙበት ነው በይፋ የተመረቀው። የጤና ሚኒስትር በአዲስ አበባ ከተማ ያስገነባው የአዕምሮ ህክምና እና አጠቃላይ ሆስፒታሉ 350 አልጋዎች ያሉት መሆኑ ተነግሯል። ከእነዚህ አልጋዎች ውስጥ 175 አልጋዎች ለአዕምሮ ህሙማን መሆኑንም ነው ያገኘነው መረጃ የሚያመላክተው። የኤካ ኮተቤ የአዕምሮ ህክምና እና አጠቃላይ ሆስፒታል በ350 የጤና ባለሙያዎች እና 174 ድጋፍ ሰጪ አስተዳደር ስራተኞች ከሚያዚያ 2009 ዓ.ም ጀምሮ የህክምና አገልግሎትም በመስጠት ላይ ይገኛል። ሆስፒታሉ ስራውን ከጀመረበት ጊዜ አንስቶ በአእምሮ ህክምና 28 ሺህ 624 ታካሚዎች እንዲሁም በጠቅላላ ህክምና ዘርፍ ደግሞ 87 ሺህ 405 ታካሚዎች በአጠቃላይ 116 ሺህ 029 ታካሚዎች የህክምና አገልግሎት ሰጥቷል። የኤካ ኮተቤ የአዕምሮ ህክምና እና አጠቃላይ ሆስፒታል ግንባታው ሚያዝያ 30 ቀን 2002 ዓ.ም ነበር የተጀመረው። የአዕምሮ ህክምና እና አጠቃላይ ሆስፒታሉ የቅዱስ አማኑኤል የአዕምሮ ስፔሻላይዝድ ሆስፒታል አካል  መሆኑም ታውቋል። በሲሳይ ጌትነት,520,510,,7,4,,,41,2501829553241102,/story.php?story_fbid=2501829553241102&id=123960474361367
FBC (Fana Broadcasting Corporate S.C.),,2019-10-01 10:16:38,በቻይና መንግስት ድጋፍ የሚገነባው የሸገርን ማስዋብ ፕሮጀክት አካል ግንባታ በይፋ ተጀመረ አዲስ አበባ፣ መስከረም 20 2012 (ኤፍ.ቢ.ሲ) በቻይና መንግስት ድጋፍ ግንባታው የሚካሄደው የሸገር ማስዋብ ፕሮጀክት አካል ግንባታ በዛሬው እለት በይፋ ተጀመረ። በፕሮጀክቱ ማስጀመሪያ ስነ ስርዓት ላይም የኢፌዴሪ ጠቅላይ ሚኒስትር ዶክተር አቢይ አህመድ እና የአዲስ አበባ ከተማ ምክትል ከንቲባ ኢንጂነር ታከለ ኡማን ጨምሮ ሌሎች ከፍተኛ የስራ ሀላፊዎች እና የቻይና መንግስት ተወካዮች ተገኝተዋል። ጠቅላይ ሚኒስትሩ በሽገርን መስዋብ ፕሮጄክት ማስጀመሪያ ሰነ ስርአት ላይ ባደረጉት፥ የኢትዮጵያን የብልፅግ ጉዞ ምንም አይነት ሃይል ሊይስቆመው አይችልም ብለዋል።  የኢትዮጽያ ህልውና እና ብልፅግና በህዝቦቿ ትጋት የቆመ ነው ሲሉም ተናግረዋል። ጠቅላይ ሚኒስትር ዶክተር አብይ አክለውም፥ በቻይና መንግስት ድጋፍ የሚገነባው ፕሮጀክት አዲስ አበባን እንደስሟ አበባ የማድረግ አካል ነው ብለዋል። ጠቅላይ ሚንስትሩ በፕሮጄክቱ ማስጀመሪያ ላይ ባደረጉት ንግግር ከቦሌ እስከ ቤተ መንግስት ያለውን መስመር የማስዋብ ስራ በቅርብ ይጀመራል ብለዋል።  በእንጦጦ ተራራ እስከ 100 ሺህ ሰው የሚያስተናግድ የመሮጫ እና የእግር ጉዞ መከወኛ ሰፍራ እንደሚገነባም አስታውቀዋል። በፕሮጀክቱ ከእንጦጦ ተራራ እስከ ባምቢስ ድልድይ ያለው 12 ኪሎ ሜትር ወንዝ እና የወንዝ ዳርቻዎች የሚለማ መሆኑ ታውቋል። እንዲሁም ከሸራተን ሆቴል ፊት ለፊት ያለው 42 ስኩዌር ኪሎ ሜትር መሬት እንደሚለማም ነው የተገለፀው። ሸራተን ሆቴል ፊት ለፊት የሚገነባው ግዙፍ ክፍት መዝናኛ እና አደባባይ የኢትዮጵያን ህብረ ብሄራዊነት በሚገልፅ መልኩ እንደሚገነባም ነው የተነገረው። በግዙፉ ፓርክ ሰው ሰራሽ ሃይቅ፣ የሰርግ ስነ ስርዓት መከወኛ ስፍራ፣ የሙዚቃ እና የተለያዩ ትርኢቶች መከወኛ ቦታ እንደተካተተ ነው የተነገረው። የህፃናት መጫወቻ፣ የሳይንስ እና ቴክኖሌጂ ማእከልም በፕሮጄክቱ ሁለተኛው ምእራፍ ይገነባሉ ተብሏል። የፕሮጀክቱ የመጀመሪያ ምእራፍ ግንባታ በመጪው ግንቦት ወር እንደሚጠናቀቅ የተገለፀ ሲሆን፥ ፕሮጀክቱ የከተማዋን የውበት እና ተፈላጊነትን ይጨምራል። በዳዊት መስፍን,1.6K,1.6K,4,32,10,,,68,2501825613241496,/story.php?story_fbid=2501825613241496&id=123960474361367
FBC (Fana Broadcasting Corporate S.C.),,2019-10-01 09:18:36,የፑሽኪን አደባባይ -ጎፋ ማዞሪያ -ጎተራ ማሳለጫ የመንገድ ፕሮጀክት ግንባታ ዛሬ ይጀመራል አዲስ አበባ፣መስከረም 20፣ 2012 (ኤፍ.ቢ.ሲ) የአዲስ አበባ ከተማ መንገዶች ባለስልጣን የፑሽኪን አደባባይ ጎፋ ማዞሪያ -ጎተራ ማሳለጫ የመንገድ ፕሮጀክት ግንባታን በዛሬው ዕለት በይፋ ያስጀምራል። በስነ-ስርዓቱ ላይ የአዲስ አበባ ምክትል ከንቲባ ኢንጅነር ታከለ ኡማን ጨምሮ ሌሎች ከፍተኛ የስራ ሃላፊዎች እና የተለያዩ ባለድርሻ አካላት እንደሚገኙ ይጠበቃል። የፑሽኪን አደባባይ- ጎፋ ማዞሪያ- ጎተራ ማሳለጫ የመንገድ ፕሮጀክት 3 ነጥብ 8 ኪሎ ሜትር ርዝመትና ከ30 እስከ 45 ሜትር የሚሆን የጎን ስፋት አለው ተብሏል። የመንገድ ግንባታውን ቻይና ፈርስት ሀይ ዌይ ኢንጂነሪንግ የተባለ የስራ ተቋራጭ የሚያከናውነው መሆኑን ከአዲስ አበባ ከተማ መንገዶች ባለስልጣን ያገኘነው መረጃ ያመላክታል። የግንባታ ቁጥጥሩንና የማማከር ስራውን ቤስት አማካሪ ድርጅት የሚያከናውነው ሲሆን፥የግንባታው ወጪ ከቻይና መንግስት በተገኘ ከ1 ነጥብ 5 ቢሊየን ብር ብድር እንደሚሸፈን ተገልጿል። የመንገድ ግንባታ ፕሮጀክቱን ለማጠናቀቅም የዲዛይን ስራውን ጨምሮ ሁለት ዓመት ከ 6 ወራት ጊዜ የተያዘለት መሆኑ ነው የተገለጸው። መንገዱ በሁለት በኩል 320 ሜትር ርዝመት ያለው ዋሻ ፣ ተጨማሪ የፈጣን አውቶቢስ መተላለፊያ መስመር እና ከስርና ከላይ መተላለፍ የሚያስችሉ ሁለት ትላልቅ ማሳለጫዎች ይኖሩታል ተብሏል። የመንገድ ፕሮጀክቱ ግንባታ ሙሉ ለሙሉ ሲጠናቀቅም ከቂርቆስ፣ ጎተራ፣ ጎፋ፣ ሳር ቤት፣ ሜክሲኮ እና ከቄራ የሚመጡ ተሸከርካሪዎችን ከማሳለጡ ባሻገር ለአካባቢውና  ለከተማዋ የተለየ ገፅታን ያጎናፅፋል ተብሎ ይጠበቃል።,2K,2K,,21,23,,,50,2501763803247677,/story.php?story_fbid=2501763803247677&id=123960474361367
FBC (Fana Broadcasting Corporate S.C.),,2019-10-01 08:53:44,የኢሬቻበዓል  ኤግዚቪሽን በአዲስ አበባ ተከፈተ,331,271,22,28,7,,3,92,2501737136583677,/story.php?story_fbid=2501737136583677&id=123960474361367
FBC (Fana Broadcasting Corporate S.C.),,2019-10-01 08:08:44,ኢትዮጵያዊያን አትሌቶች በ5 ሺህ ሜትር ውድድር ወርቅና ብር አስገኝተዋል አዲስ አበባ፣ መስከረም 20፣ 2012 (ኤፍ ቢ ሲ) ትናንት ምሽት በዶሃ በተካሄደው የ5 ሺህ ሜትር የወንዶች ፍፃሜ ውድድር ኢትዮጵያውያን አትሌቶች ድል ቀንቷቸዋል። ሙክታር እንድሪስ ውድድሩን በአንደኝነት በማጠናቀቅ ለሀገሩ የወርቅ ሜዳሊያ አስገኝቷል። ሙክታር ርቀቱን 12 ደቂቃ ከ58 ሰከንድ 85 ማይክሮ ሰከንድ በሆነ ስዓት በመጨረስ ነው ለሀገሩ የመጀመሪያውን ወርቅ ሜዳሊያ ያስመዘገበው። ሰለሞን ባረጋ ውድድሩን ሁለተኛ ሆኖ በማጠናቀቅ የብር ሜዳሊያ ሲያገኝ፥ ሌላኛው ኢትዮጵያዊ ጥላሁን ሃይሌ ደግሞ 4ኛ በመሆን ውድድሩን አጠናቋል። በኳታር እየተካሄደ ባለው 17ኛው የዶኃ አለም አትሌቲክስ ሻምፒዮና ኢትዮጵያ እስካሁን አንድ ወርቅ እና ሁለት የብር ሜዳሊያዎችን ማግኘት ችላለች። ውጤቱን ተከትሎም አሜሪካ፣ ቻይና፣ ጀማይካን እና ኬንያን በመከተል አምስተኛ ደረጃ ላይ ተቀምጣለች።,3.8K,3.6K,,114,13,,,173,2501689973255060,/story.php?story_fbid=2501689973255060&id=123960474361367
